1 NONTERMINAL NP+ADVP
254 NONTERMINAL VP+VERB
65 NONTERMINAL SBAR
81 NONTERMINAL ADJP
30 NONTERMINAL WHADVP
1808 NONTERMINAL DET
1 NONTERMINAL S+VP+VERB
2 NONTERMINAL NP+VERB
817 NONTERMINAL WHNP+PRON
2 NONTERMINAL NP+S
11 NONTERMINAL SBAR+S
3 NONTERMINAL NP+X
3 NONTERMINAL NP+NP
17 NONTERMINAL X
251 NONTERMINAL SQ+VP
68 NONTERMINAL CONJ
114 NONTERMINAL NP+PRON
301 NONTERMINAL WHADVP+ADV
1 NONTERMINAL PP+NOUN
1024 NONTERMINAL PP
3852 NONTERMINAL NOUN
4 NONTERMINAL NP+ADJ
27 NONTERMINAL PRT+PRT
24 NONTERMINAL WHPP
1 NONTERMINAL WHNP+WHNP
14 NONTERMINAL ADVP
2032 NONTERMINAL .
1 NONTERMINAL NX
280 NONTERMINAL PRT
103 NONTERMINAL NUM
50 NONTERMINAL NP+NUM
4813 NONTERMINAL NP
1 NONTERMINAL NP+SBAR+S
25 NONTERMINAL NP+DET
244 NONTERMINAL ADV
16 NONTERMINAL VP+NOUN
19 NONTERMINAL ADJP+ADJ
1010 NONTERMINAL ADP
1 NONTERMINAL NP+PP
1 NONTERMINAL PP+PP+ADP
803 NONTERMINAL VP
6 NONTERMINAL PP+PRT
3405 NONTERMINAL SBARQ
2349 NONTERMINAL VERB
1 NONTERMINAL NP+S+VP
1 NONTERMINAL SBAR+VP
656 NONTERMINAL NP+NOUN
2 NONTERMINAL NP+QP
916 NONTERMINAL ADJ
23 NONTERMINAL WHNP+DET
10 NONTERMINAL SBAR+S+VP
7 NONTERMINAL QP
2081 NONTERMINAL SQ
38 NONTERMINAL ADVP+ADV
85 NONTERMINAL S
124 NONTERMINAL WHADJP
569 NONTERMINAL WHNP
73 NONTERMINAL PRON
90 NONTERMINAL S+VP
1 NONTERMINAL VP+S+VP
2 NONTERMINAL ADVP+ADJ
113 NONTERMINAL PP+ADP
1 BINARYRULE PP ADV PP
1 BINARYRULE VP VERB NP+S+VP
3 BINARYRULE PP ADP NP+ADJ
20 BINARYRULE WHNP WHNP PP
1 BINARYRULE SQ+VP ADVP VP
1 BINARYRULE SBARQ WHNP SQ+VP
1 BINARYRULE VP NP ADVP+ADJ
3 BINARYRULE ADJP ADV ADJP
20 BINARYRULE WHNP WHADJP NP
42 BINARYRULE NP PRON NOUN
1 BINARYRULE SBARQ NP .
6 BINARYRULE NP ADV NP
1 BINARYRULE VP CONJ VP+VERB
11 BINARYRULE SQ NP PP+ADP
1 BINARYRULE SQ+VP VERB SBAR
12 BINARYRULE VP VERB SBAR
1 BINARYRULE PP ADP NP+PRON
2 BINARYRULE NP NP+NOUN SBAR
1 BINARYRULE SBAR WHNP+DET VP
10 BINARYRULE PP PRT NP+NOUN
148 BINARYRULE VP VERB NP
1 BINARYRULE VP PP+PRT PP
2 BINARYRULE SQ VERB ADVP
1 BINARYRULE NP ADJP ADVP
1 BINARYRULE NP NP NP+PP
3 BINARYRULE WHADVP ADV ADJ
1 BINARYRULE NP+PP PP PP
1 BINARYRULE ADJP X .
1 BINARYRULE NP ADJP+ADJ NP
2 BINARYRULE VP NP+PRON NP
1 BINARYRULE NP+S+VP VERB VP
12 BINARYRULE S NP+PRON VP
1 BINARYRULE ADJP ADJ PP+PRT
1 BINARYRULE PP PRT VP
1 BINARYRULE VP VERB NP+QP
2 BINARYRULE NP X X
1 BINARYRULE VP NP PP+NOUN
1 BINARYRULE NP NP NX
1 BINARYRULE NP PRON PRT
4 BINARYRULE NP QP NOUN
323 BINARYRULE NP NOUN NP
1 BINARYRULE NP+NP NP PP
5 BINARYRULE WHADJP ADV ADV
30 BINARYRULE NP NP SBAR
1 BINARYRULE SBAR+S NP S
40 BINARYRULE PP ADP NP+NUM
20 BINARYRULE SBARQ WHPP SBARQ
283 BINARYRULE SBARQ WHADVP+ADV SBARQ
17 BINARYRULE NP . NOUN
138 BINARYRULE NP NP NP
1 BINARYRULE NP NUM .
1 BINARYRULE NP NP NP+ADVP
2 BINARYRULE VP NP NP
1 BINARYRULE VP NOUN NP
4 BINARYRULE S VP S
1 BINARYRULE VP PRT+PRT SBAR
3 BINARYRULE VP VERB ADJP+ADJ
2 BINARYRULE WHNP WHADJP WHNP
3 BINARYRULE WHNP PRON WHNP
6 BINARYRULE VP PRT VP
46 BINARYRULE VP NP PP
1 BINARYRULE SBAR+VP PRT VP
2 BINARYRULE VP . PP
1 BINARYRULE VP VP+VERB VP
8 BINARYRULE NP CONJ NP+NOUN
2 BINARYRULE QP ADP NUM
3 BINARYRULE NP X .
1 BINARYRULE WHNP WHNP NP+NOUN
1 BINARYRULE VP NP VERB
172 BINARYRULE SQ NP VP+VERB
3 BINARYRULE S+VP VERB ADJP+ADJ
1 BINARYRULE S+VP VERB NP+NP
2 BINARYRULE SBARQ WHADVP+ADV SQ
1 BINARYRULE NP . DET
1 BINARYRULE NP+QP ADJ QP
1 BINARYRULE WHNP DET S
1 BINARYRULE WHNP WHADJP PP
2 BINARYRULE VP CONJ VERB
1 BINARYRULE VP VERB ADVP
28 BINARYRULE NP NP+NOUN NP
1 BINARYRULE ADJP ADJ PP+ADP
15 BINARYRULE NP NOUN NUM
3 BINARYRULE SQ NP+NOUN SQ
1 BINARYRULE VP+S+VP PRT VP
4 BINARYRULE NP NP+NOUN VP
17 BINARYRULE ADJP ADV ADJ
1 BINARYRULE SQ ADV VP
1 BINARYRULE NP NP+NUM PP
1 BINARYRULE VP NP+PRON PP
1 BINARYRULE ADVP CONJ ADV
1 BINARYRULE PP NP PP
13 BINARYRULE S NP VP
1 BINARYRULE NP . S+VP
5 BINARYRULE ADJP . ADJP
21 BINARYRULE SBAR ADP S
1 BINARYRULE SQ NP NP+VERB
4 BINARYRULE SQ NP ADJP+ADJ
1 BINARYRULE NP ADJ .
2 BINARYRULE NP+S NP VP
2 BINARYRULE NP NP ADJP
8 BINARYRULE SQ ADVP+ADV VP
1 BINARYRULE NP NP+NOUN PP+ADP
1 BINARYRULE WHNP WHNP NP
45 BINARYRULE NP NUM NOUN
1 BINARYRULE ADVP ADVP PP
1 BINARYRULE SQ VP+VERB SQ
4 BINARYRULE SQ NP SBAR
1 BINARYRULE NP NOUN X
1 BINARYRULE QP ADJ QP
6 BINARYRULE S NP+NOUN VP
12 BINARYRULE NP ADJP NP
5 BINARYRULE ADJP ADJ ADJP
4 BINARYRULE WHNP DET WHNP
1 BINARYRULE NP NP+NUM PP+ADP
3 BINARYRULE SBARQ PP SBARQ
1 BINARYRULE SBARQ SQ+VP SBARQ
58 BINARYRULE WHNP WHADJP NOUN
2 BINARYRULE NP NOUN SBAR
5 BINARYRULE SBAR WHNP+PRON S+VP
2 BINARYRULE WHNP ADV ADJ
3 BINARYRULE SQ+VP VERB S+VP
2 BINARYRULE WHADVP WHADVP PP
2 BINARYRULE VP PRT+PRT PP+ADP
12 BINARYRULE VP NP+NOUN PP
5 BINARYRULE WHNP DET NP+NOUN
1 BINARYRULE SBARQ VP .
1 BINARYRULE NP QP PP
1 BINARYRULE NP VERB PP
216 BINARYRULE NP ADJ NP
8 BINARYRULE SQ NP+NOUN PP+ADP
1 BINARYRULE WHADJP ADV ADJP
1 BINARYRULE VP VERB PP+PP+ADP
1 BINARYRULE QP DET NOUN
9 BINARYRULE NP DET ADJ
1 BINARYRULE NP ADJP NP+NOUN
2 BINARYRULE VP . NP
1 BINARYRULE ADJP NOUN VERB
1 BINARYRULE PP ADP NP+VERB
2 BINARYRULE ADJP CONJ ADJP
2 BINARYRULE VP VERB S
1 BINARYRULE NP+NP DET NP
12 BINARYRULE VP ADVP+ADV VP
1 BINARYRULE NP . NP+NUM
24 BINARYRULE VP VERB S+VP
2 BINARYRULE WHNP WHNP+DET PP
1 BINARYRULE S . S
6 BINARYRULE PP ADP PP
1 BINARYRULE NP ADJP PP
15 BINARYRULE NP . NP+NOUN
1 BINARYRULE SQ VERB SBAR+S
7 BINARYRULE S NP S
2 BINARYRULE NP NP PRT
1 BINARYRULE NP+ADVP . ADVP
1 BINARYRULE WHPP ADP WHNP+PRON
3 BINARYRULE VP . VP
3 BINARYRULE WHADVP ADV PP
2 BINARYRULE S+VP VERB NP+NOUN
1 BINARYRULE NP PP PP
1 BINARYRULE NP PP VP
1 BINARYRULE VP NP+NOUN ADVP
2 BINARYRULE ADJP ADJ S+VP
5 BINARYRULE SBAR WHADVP+ADV S+VP
1 BINARYRULE VP VP VP
3 BINARYRULE NP DET NUM
2 BINARYRULE NP VERB .
1 BINARYRULE PP PRT NOUN
1 BINARYRULE SQ NP+PRON ADJP
2 BINARYRULE VP VP NP
9 BINARYRULE ADJP ADJ ADJ
6 BINARYRULE WHNP PRON NOUN
1 BINARYRULE SBARQ WHNP+PRON SQ+VP
1 BINARYRULE SQ VP+VERB NP
1 BINARYRULE VP VP NP+NOUN
27 BINARYRULE VP VERB NP+NOUN
15 BINARYRULE SQ+VP VERB NP+NOUN
117 BINARYRULE NP . NP
4 BINARYRULE S NP VP+VERB
28 BINARYRULE SQ NP+NOUN VP+VERB
1 BINARYRULE NP NP S
97 BINARYRULE NP NOUN .
1 BINARYRULE NP VERB PRT
1 BINARYRULE NP ADJ NUM
2 BINARYRULE WHADVP ADV WHADVP
1 BINARYRULE NP+QP DET NUM
4 BINARYRULE PP ADP VP
26 BINARYRULE NP NUM NP
2 BINARYRULE VP ADVP+ADV VERB
1 BINARYRULE VP VERB ADVP+ADJ
1 BINARYRULE NP ADV .
103 BINARYRULE VP VERB VP
1 BINARYRULE NP PRON .
6 BINARYRULE NP X NP
6 BINARYRULE NP NP SBAR+S
164 BINARYRULE WHNP DET NP
1 BINARYRULE ADJP ADP WHNP+PRON
1 BINARYRULE SQ+VP VERB ADVP+ADV
1 BINARYRULE SQ VERB NP+X
1 BINARYRULE SBAR+S NP+NOUN VP
1 BINARYRULE ADJP ADV VERB
2 BINARYRULE SQ NP+X VP+NOUN
2 BINARYRULE SBARQ . .
1 BINARYRULE SQ NP+NOUN ADVP
1 BINARYRULE VP PP VP
2 BINARYRULE NP NP+NOUN VP+VERB
1 BINARYRULE VP NP VP+S+VP
1 BINARYRULE VP . S+VP
1 BINARYRULE WHNP+WHNP DET NP
1 BINARYRULE QP DET NUM
1 BINARYRULE SQ ADV SQ
9 BINARYRULE NP VERB NOUN
1 BINARYRULE SBAR WHNP SBAR
1 BINARYRULE ADJP . SBAR+S
2 BINARYRULE VP ADJ VP
121 BINARYRULE SQ+VP VERB NP
2 BINARYRULE NP NP ADJ
247 BINARYRULE SBARQ SQ+VP .
1 BINARYRULE SBAR WHADVP+ADV PP
3 BINARYRULE ADVP ADV PP
2 BINARYRULE NP NOUN ADJ
2 BINARYRULE ADVP ADV ADVP
1 BINARYRULE VP ADJP+ADJ PP
168 BINARYRULE SQ NP VP
2 BINARYRULE VP VP SBAR
3 BINARYRULE NP NP .
1 BINARYRULE ADVP . ADVP
